n_cells,replicate,window_width,estimated_midpoint,error
12,30,9,17.313421080340188,-2.686578919659812
12,31,1,19.32664794996936,-0.6733520500306405
12,31,5,18.69099853422136,-1.309001465778639
12,31,9,18.442405946942447,-1.557594053057553
12,32,1,18.940318352937258,-1.0596816470627424
12,32,5,17.80295149439892,-2.1970485056010816
12,32,9,17.536841599927232,-2.4631584000727678
12,33,1,19.825606804798944,-0.17439319520105556
12,33,5,18.899277003234513,-1.1007229967654872
12,33,9,18.49616277153288,-1.5038372284671198
12,34,1,18.810736864668982,-1.189263135331018
12,34,5,17.92365655677446,-2.0763434432255394
12,34,9,17.580466698340015,-2.4195333016599854
12,35,1,19.848144268231337,-0.15185573176866285
12,35,5,18.76459417908786,-1.2354058209121384
12,35,9,18.30322466196006,-1.6967753380399415
12,36,1,19.096787875395243,-0.9032121246047566
12,36,5,18.384440662208537,-1.6155593377914634
12,36,9,17.519753427057456,-2.4802465729425442
12,37,1,19.579217928940153,-0.4207820710598469
12,37,5,18.76845498803479,-1.2315450119652098
12,37,9,18.40691029314839,-1.593089706851611
12,38,1,19.920107136986026,-0.07989286301397414
12,38,5,19.16088153565607,-0.8391184643439296
12,38,9,18.828972432553215,-1.1710275674467852
12,39,1,19.919677763947426,-0.08032223605257371
12,39,5,19.05937461799568,-0.9406253820043204
12,39,9,18.667058171323315,-1.3329418286766845
12,40,1,18.608194921219873,-1.391805078780127
12,40,5,17.393570986707886,-2.6064290132921144
12,40,9,17.091328692724925,-2.9086713072750747
12,41,1,19.135703819529592,-0.8642961804704079
12,41,5,18.51941195122568,-1.4805880487743188
12,41,9,18.383235057181647,-1.616764942818353
12,42,1,19.90927444682372,-0.09072555317628073
12,42,5,18.853900065573328,-1.1460999344266725
12,42,9,18.464145814694437,-1.5358541853055634
12,43,1,19.84199584218895,-0.1580041578110496
12,43,5,19.007925207125442,-0.9920747928745577
12,43,9,18.723366955698197,-1.2766330443018035
12,44,1,19.941160493666825,-0.05883950633317525
12,44,5,19.29584039695509,-0.7041596030449107
12,44,9,18.94864278209125,-1.0513572179087483
12,45,1,19.902725802701347,-0.09727419729865261
12,45,5,19.096555903110236,-0.9034440968897641
12,45,9,18.8070348333552,-1.1929651666448002
12,46,1,19.26707830374143,-0.7329216962585683
12,46,5,18.02197973992283,-1.9780202600771695
12,46,9,17.456623878172028,-2.543376121827972
12,47,1,18.374043297700947,-1.625956702299053
12,47,5,17.004883629709834,-2.995116370290166
12,47,9,16.883194926890113,-3.1168050731098873
12,48,1,19.301837481595264,-0.698162518404736
12,48,5,18.627434851306674,-1.372565148693326
12,48,9,18.31804086516869,-1.6819591348313097
12,49,1,18.93001528130837,-1.0699847186916287
12,49,5,18.054902575858062,-1.945097424141938
12,49,9,17.847407936340634,-2.152592063659366
12,50,1,19.303267313030187,-0.6967326869698134
12,50,5,18.50529324387306,-1.4947067561269414
12,50,9,18.33253771626202,-1.6674622837379793
12,51,1,18.825344391278964,-1.1746556087210358
12,51,5,17.943120483540465,-2.056879516459535
12,51,9,17.628215645940603,-2.371784354059397
12,52,1,20.173706492286932,0.17370649228693225
12,52,5,19.417458661618753,-0.5825413383812474
12,52,9,19.02511215852229,-0.9748878414777096
12,53,1,21.076349017853126,1.0763490178531256
12,53,5,17.474942521203868,-2.525057478796132
12,53,9,16.59765495271179,-3.402345047288211
12,54,1,19.788596734847772,-0.21140326515222796
12,54,5,19.02160219875307,-0.9783978012469312
12,54,9,18.86663683781961,-1.133363162180391
12,55,1,20.505414795082377,0.5054147950823769
12,55,5,19.60632855598105,-0.39367144401894905
12,55,9,19.27510795938017,-0.7248920406198316
12,56,1,19.36062059191004,-0.6393794080899617
12,56,5,18.573492703245766,-1.4265072967542345
12,56,9,18.17509808005058,-1.8249019199494185
12,57,1,19.58651214093607,-0.41348785906393104
12,57,5,18.589356296257552,-1.4106437037424477
12,57,9,18.245028959175677,-1.7549710408243229
12,58,1,20.246424119113936,0.2464241191139358
12,58,5,18.794314826127696,-1.205685173872304
12,58,9,18.131023727800027,-1.8689762721999728
12,59,1,20.221566111493342,0.22156611149334182
12,59,5,18.901322173075954,-1.098677826924046
12,59,9,18.447383468935612,-1.5526165310643876
12,60,1,19.44283203251665,-0.5571679674833483
12,60,5,18.03037616803196,-1.9696238319680397
12,60,9,17.628468368211824,-2.3715316317881765
12,61,1,19.096496174755664,-0.9035038252443357
12,61,5,17.858345370076545,-2.1416546299234547
12,61,9,17.63362286487365,-2.366377135126349
12,62,1,18.71285719927951,-1.2871428007204884
12,62,5,18.01589596754036,-1.9841040324596406
12,62,9,17.69370199415795,-2.3062980058420486
12,63,1,19.386956315528177,-0.6130436844718226
12,63,5,18.020758637402622,-1.979241362597378
12,63,9,17.70919688813836,-2.2908031118616385
12,64,1,19.97281279116331,-0.02718720883668979
12,64,5,19.034901028213397,-0.9650989717866025
12,64,9,18.765104476838317,-1.2348955231616827
12,65,1,19.376423141264137,-0.6235768587358628
12,65,5,18.820714668672462,-1.179285331327538
12,65,9,18.629882533545395,-1.3701174664546052
12,66,1,19.09280527248444,-0.9071947275155594
12,66,5,18.368367058099263,-1.6316329419007367
12,66,9,17.973878613788003,-2.0261213862119973
12,67,1,17.521496907407947,-2.478503092592053
