subject,file,region,block,direction,direction_traversal,global_traversal,map_similarity,subsample_q025,subsample_q975,is_late_reference_traversal,n_cells_available,n_cells_equalized,duration_seconds,moving_speed_mean,moving_speed_median,moving_sample_fraction
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,21,41,0.18030401538623692,0.18030401538623683,0.18030401538623705,False,42,42,16.271798000000672,9.80068453630112,8.589454520890946,0.5700245700245701
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,22,43,0.16617653344788924,0.16617653344788919,0.1661765334478893,False,42,42,28.533652941177024,8.595429007215886,6.526862734986931,0.40336134453781514
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,23,45,0.2148123999370743,0.21481239993707424,0.21481239993707438,False,42,42,35.222290666666595,10.179425681579923,8.661118547835926,0.2709750566893424
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,24,47,0.32457179143588233,0.3245717914358823,0.32457179143588244,False,42,42,25.074640896359597,8.564033046253734,5.90746380766287,0.44976076555023925
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,25,49,0.2395901039908457,0.23959010399084563,0.2395901039908458,False,42,42,26.346778666666978,12.067105323434097,9.869612971883923,0.2803030303030303
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,26,51,0.33371103281391346,0.3337110328139134,0.3337110328139136,False,42,42,15.750394483659875,12.035608431166358,9.009320913744464,0.4936708860759494
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,27,53,0.14468347365019615,0.14468347365019613,0.14468347365019618,False,42,42,2.1184993333336024,16.484492050169813,9.634144284303977,0.9444444444444444
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,28,55,0.15242764107349288,0.15242764107349285,0.15242764107349294,False,42,42,24.927519863946145,10.603169179986548,9.422198169110986,0.35096153846153844
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,29,57,0.35975238462911435,0.35975238462911424,0.35975238462911446,False,42,42,17.824068952380912,8.186270107101317,5.554380162820139,0.6196868008948546
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,30,59,0.28961565616646917,0.28961565616646906,0.2896156561664693,False,42,42,16.951554666666198,9.104983186516707,7.2740901692728634,0.5952941176470589
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,31,61,0.3267291596609747,0.32672915966097466,0.3267291596609748,False,42,42,29.827501307189777,12.349149284001445,11.823137341294556,0.24230254350736277
